"currency","identifier","mean_net_proportional","lower_net_proportional","upper_net_proportional","k"
"scaled_energy","bbs_rtrg_105_2",2.75108941335249,2.52103887155164,3.02945012801006,5
"abundance","bbs_rtrg_105_4",-0.509320216127333,-0.54306821007977,-0.470012469031719,5
"scaled_energy","bbs_rtrg_105_4",-0.606725578510783,-0.634598850498844,-0.579861580764638,5
"abundance","bbs_rtrg_105_45",-0.320124530521002,-0.363140696939816,-0.278135911415898,5
"scaled_energy","bbs_rtrg_105_45",-0.292021371136035,-0.330119472886437,-0.244946667108893,5
"abundance","bbs_rtrg_105_56",-0.0538445379002618,-0.118390125514571,0.0080737876529802,5
"scaled_energy","bbs_rtrg_105_56",-0.156369126670372,-0.20720623659539,-0.101876135342473,5
"abundance","bbs_rtrg_106_14",0.395353982424723,0.301150195777074,0.487134963078762,5
"scaled_energy","bbs_rtrg_106_14",0.941352422556785,0.829972953747867,1.06649663740346,5
"abundance","bbs_rtrg_106_4",-0.00531909680584283,-0.1027471250277,0.102246141847524,5
"scaled_energy","bbs_rtrg_106_4",0.807605557790982,0.629568503032134,0.971539183471877,5
"abundance","bbs_rtrg_106_79",0.443708986334811,0.339188238199596,0.551690384828553,5
"scaled_energy","bbs_rtrg_106_79",0.615992335627291,0.508089843390288,0.753033289248716,5
"abundance","bbs_rtrg_107_14",-0.16494933738807,-0.224165359087846,-0.0999977676033626,5
"scaled_energy","bbs_rtrg_107_14",-0.0239444725618475,-0.0837431112938112,0.0505355119861255,5
"abundance","bbs_rtrg_107_4",0.097818640366708,0.00305082791865867,0.192231363288743,5
"scaled_energy","bbs_rtrg_107_4",0.334033856524099,0.224916035193292,0.436300616024372,5
"abundance","bbs_rtrg_107_45",0.295999944004037,0.212091028795748,0.38415241315743,5
"scaled_energy","bbs_rtrg_107_45",0.21035976371314,0.129491250035149,0.28241924639021,5
"abundance","bbs_rtrg_107_6",1.04252780141452,0.829509820793977,1.26732092195747,5
"scaled_energy","bbs_rtrg_107_6",0.14097604835411,0.0464696015666244,0.265573591828245,5
"abundance","bbs_rtrg_108_14",0.00306941486666874,-0.0459589468052729,0.0489646595264039,5
"scaled_energy","bbs_rtrg_108_14",0.0548121392204929,0.0125227519863412,0.111420963569432,5
"abundance","bbs_rtrg_108_4",-0.111048255158643,-0.168710799460757,-0.0525967677843121,5
"scaled_energy","bbs_rtrg_108_4",-0.166644320460365,-0.221912999810921,-0.117858321000323,5
"abundance","bbs_rtrg_108_6",0.452057135610055,0.292235856178856,0.604824383541706,5
"scaled_energy","bbs_rtrg_108_6",0.571436769818648,0.412509276385552,0.735062637458808,5
"abundance","bbs_rtrg_108_79",-0.444856082292844,-0.495179277458735,-0.392858708696315,5
"scaled_energy","bbs_rtrg_108_79",-0.325921825551135,-0.383663243273521,-0.268208941229966,5
"abundance","bbs_rtrg_109_14",-0.124236413477099,-0.251561796892124,0.0387783599950725,5
"scaled_energy","bbs_rtrg_109_14",0.699749817175208,0.441552060586083,0.935033728452894,5
"abundance","bbs_rtrg_109_2",-0.0393377147316862,-0.104195262127104,0.0284069306356024,5
