"draw","start","end","net_change","net_proportional","currency","identifier","k"
1,236.165408508886,263.509842369221,27.3444338603349,0.115785093308049,"scaled_energy","rockies",5
2,256.275702935055,281.828423890995,25.5527209559398,0.0997079343195296,"scaled_energy","rockies",5
3,236.345117173402,294.966293623257,58.6211764498548,0.248032103015039,"scaled_energy","rockies",5
4,239.498253902239,276.567063535053,37.0688096328135,0.154776951517753,"scaled_energy","rockies",5
5,225.923563918147,258.295482141514,32.3719182233675,0.143287037712879,"scaled_energy","rockies",5
6,239.712737618546,276.86615240711,37.1534147885649,0.154991408290064,"scaled_energy","rockies",5
7,236.140470999602,298.430656549839,62.2901855502363,0.263784455441106,"scaled_energy","rockies",5
8,242.940231234933,262.405375462814,19.4651442278812,0.0801231814464587,"scaled_energy","rockies",5
9,230.09669851704,262.742903211012,32.646204693972,0.141880369880902,"scaled_energy","rockies",5
10,250.489412524083,277.021355299201,26.5319427751174,0.105920415987907,"scaled_energy","rockies",5
11,229.685985709761,299.475057552248,69.7890718424865,0.303845581291469,"scaled_energy","rockies",5
12,229.635829618197,305.258599274038,75.622769655841,0.329316073112697,"scaled_energy","rockies",5
13,214.709453291191,272.06150930615,57.3520560149591,0.267114722411303,"scaled_energy","rockies",5
14,219.037417732335,279.703857368353,60.6664396360181,0.276968384050952,"scaled_energy","rockies",5
15,225.399729342259,290.544048523663,65.1443191814033,0.289016847409273,"scaled_energy","rockies",5
16,242.007697117488,275.298991478987,33.2912943614991,0.137562956707683,"scaled_energy","rockies",5
17,244.754927809131,280.542782082405,35.7878542732735,0.14621913680603,"scaled_energy","rockies",5
18,223.904627467192,271.539076093549,47.634448626357,0.212744368730551,"scaled_energy","rockies",5
19,225.281736536728,271.142018955469,45.8602824187409,0.203568576502269,"scaled_energy","rockies",5
20,227.909943042102,261.97497612626,34.0650330841575,0.149467077344074,"scaled_energy","rockies",5
21,244.657005104817,273.199951759565,28.5429466547479,0.116665151862377,"scaled_energy","rockies",5
22,219.494257326183,268.008266053145,48.5140087269623,0.221026323503614,"scaled_energy","rockies",5
23,224.389461256704,277.604669438723,53.2152081820191,0.237155559285114,"scaled_energy","rockies",5
24,228.396002069379,261.264155978468,32.8681539090882,0.1439086219167,"scaled_energy","rockies",5
25,215.315060320245,269.134211389259,53.8191510690136,0.249955349100832,"scaled_energy","rockies",5
26,238.821655625966,290.526702503681,51.7050468777158,0.216500663401708,"scaled_energy","rockies",5
27,224.983602507285,273.386054439343,48.402451932058,0.215137687336528,"scaled_energy","rockies",5
28,228.258410403985,285.513112909686,57.2547025057007,0.250832827602576,"scaled_energy","rockies",5
29,241.052833573078,275.396889876507,34.3440563034296,0.142475223353962,"scaled_energy","rockies",5
30,220.472839292207,276.463572911807,55.9907336196004,0.253957511498241,"scaled_energy","rockies",5
31,196.14054513765,268.359043152037,72.2184980143871,0.368197702130912,"scaled_energy","rockies",5
32,215.737048163594,308.676036157302,92.9389879937087,0.430797532388748,"scaled_energy","rockies",5
33,238.691727764322,293.155676133446,54.4639483691242,0.228176941359696,"scaled_energy","rockies",5
34,221.062853258331,273.590668134261,52.5278148759299,0.237614841669245,"scaled_energy","rockies",5
35,226.618868223008,276.723297267386,50.1044290443782,0.22109557530343,"scaled_energy","rockies",5
36,227.850628708365,274.85973402806,47.0091053196948,0.206315451426134,"scaled_energy","rockies",5
37,231.534073161669,296.804261615886,65.2701884542174,0.281903166833861,"scaled_energy","rockies",5
38,217.488121283308,284.652817740815,67.1646964575073,0.308820068246469,"scaled_energy","rockies",5
39,230.950599867892,259.706646228416,28.7560463605237,0.124511676423324,"scaled_energy","rockies",5
40,239.945255983035,292.768267907029,52.8230119239939,0.220146098357238,"scaled_energy","rockies",5
41,222.164183540046,264.848534496186,42.68435095614,0.192129758613615,"scaled_energy","rockies",5
42,223.87744921329,266.502817576403,42.6253683631124,0.1903959890239,"scaled_energy","rockies",5
43,217.15786064459,275.185194785767,58.0273341411775,0.267212680991307,"scaled_energy","rockies",5
44,229.206759636875,286.410437765587,57.2036781287117,0.24957238704189,"scaled_energy","rockies",5
45,240.522239191927,291.215391520292,50.693152328365,0.210762848785529,"scaled_energy","rockies",5
46,240.718557009631,314.888333696144,74.1697766865126,0.308118234040199,"scaled_energy","rockies",5
47,219.431160759442,276.653380532806,57.2222197733631,0.260775268085532,"scaled_energy","rockies",5
48,235.776094701077,281.249258259624,45.4731635585462,0.19286587818073,"scaled_energy","rockies",5
49,228.351635904314,275.699708677839,47.3480727735256,0.207347201985301,"scaled_energy","rockies",5
50,218.830182375802,268.719567006665,49.8893846308625,0.227982191895204,"scaled_energy","rockies",5
51,246.222438245524,284.159899067177,37.9374608216527,0.15407799992551,"scaled_energy","rockies",5
52,223.305740019481,291.99374167246,68.6880016529794,0.307596220531488,"scaled_energy","rockies",5
53,224.155657623009,285.222318171244,61.0666605482356,0.272429708871945,"scaled_energy","rockies",5
54,225.279155515411,259.553334713053,34.2741791976413,0.152140925418626,"scaled_energy","rockies",5
55,217.271557573619,270.989600032592,53.7180424589728,0.247239183346726,"scaled_energy","rockies",5
56,248.681599614838,298.012343197319,49.3307435824811,0.198369093889075,"scaled_energy","rockies",5
57,221.410522872062,271.553326752051,50.1428038799891,0.22646983182892,"scaled_energy","rockies",5
58,228.340862073559,297.313326891015,68.9724648174559,0.302059229307967,"scaled_energy","rockies",5
59,239.887052444446,294.840640588527,54.9535881440819,0.229081092889781,"scaled_energy","rockies",5
60,211.742692527773,289.182062869006,77.4393703412332,0.365723933217086,"scaled_energy","rockies",5
61,222.702078901454,283.869819844304,61.1677409428501,0.274661742021352,"scaled_energy","rockies",5
62,229.76324475576,277.43324449704,47.6699997412807,0.207474436531197,"scaled_energy","rockies",5
63,226.908101227674,272.979717372688,46.0716161450147,0.20304086057636,"scaled_energy","rockies",5
64,205.899657832376,269.240889372191,63.3412315398145,0.30763155318782,"scaled_energy","rockies",5
65,242.38320435903,272.894497603152,30.5112932441224,0.12588039391924,"scaled_energy","rockies",5
66,223.100328260832,287.629204782445,64.5288765216122,0.289237030822159,"scaled_energy","rockies",5
67,218.679779278734,270.939866302505,52.2600870237716,0.238979969689652,"scaled_energy","rockies",5
68,234.739936005971,291.284293147327,56.5443571413567,0.240880857784329,"scaled_energy","rockies",5
69,226.456482815945,295.69792319827,69.2414403823249,0.305760468948913,"scaled_energy","rockies",5
70,237.09701875166,280.834740279752,43.7377215280916,0.184471832494458,"scaled_energy","rockies",5
71,223.691901891843,261.882277531642,38.1903756397985,0.17072757358138,"scaled_energy","rockies",5
72,221.262100502903,285.324084886185,64.0619843832817,0.289529857294476,"scaled_energy","rockies",5
73,223.933813698363,276.800996651681,52.8671829533183,0.236083966419336,"scaled_energy","rockies",5
74,232.016313123612,272.368538761882,40.3522256382698,0.173919777859634,"scaled_energy","rockies",5
75,234.056296400668,283.308621977805,49.252325577137,0.210429398117215,"scaled_energy","rockies",5
76,244.567101268373,296.871386968067,52.3042856996935,0.213864765246156,"scaled_energy","rockies",5
77,217.263095541426,287.852458475841,70.5893629344141,0.324902684270899,"scaled_energy","rockies",5
78,223.157570479897,262.640270442666,39.4826999627688,0.176927450311732,"scaled_energy","rockies",5
79,223.228848536116,274.257386689313,51.0285381531975,0.228592937193517,"scaled_energy","rockies",5
80,195.265458915287,290.336169829074,95.0707109137877,0.486879304931411,"scaled_energy","rockies",5
81,236.092420146802,289.145536389384,53.0531162425821,0.224713339842058,"scaled_energy","rockies",5
82,231.002998904607,253.307439288031,22.3044403834244,0.0965547654757292,"scaled_energy","rockies",5
83,229.548223637348,260.985483408418,31.4372597710704,0.136952746890939,"scaled_energy","rockies",5
84,242.721518801924,294.698093631907,51.9765748299829,0.214140777820359,"scaled_energy","rockies",5
85,234.906836141662,273.13256321628,38.2257270746183,0.162727180283362,"scaled_energy","rockies",5
86,224.663326248353,267.99653184045,43.3332055920969,0.192880637510879,"scaled_energy","rockies",5
87,236.559867549134,276.800503994738,40.2406364456034,0.170107621645693,"scaled_energy","rockies",5
88,221.286741788791,275.697508026273,54.4107662374821,0.245883534628636,"scaled_energy","rockies",5
89,243.043791641478,268.973503287284,25.9297116458061,0.106687405881389,"scaled_energy","rockies",5
90,220.201436590935,284.425229797643,64.2237932067077,0.29165928343154,"scaled_energy","rockies",5
91,218.567285596889,278.638279071059,60.0709934741701,0.274839820195969,"scaled_energy","rockies",5
92,235.17098957164,285.652594472813,50.4816049011729,0.214659150744419,"scaled_energy","rockies",5
93,232.58678931758,278.232116847254,45.6453275296738,0.196250731452113,"scaled_energy","rockies",5
94,217.432082749024,292.908002780952,75.475920031928,0.347124118380671,"scaled_energy","rockies",5
95,232.173605157224,276.560594234091,44.3869890768669,0.191180169023989,"scaled_energy","rockies",5
96,217.166674992522,268.862078422905,51.6954034303833,0.23804482631676,"scaled_energy","rockies",5
97,240.210688807469,287.468440396642,47.2577515891725,0.196734590886794,"scaled_energy","rockies",5
98,212.977980617336,285.632827095698,72.6548464783623,0.34113783156252,"scaled_energy","rockies",5
99,224.102771961,277.595066472834,53.4922945118345,0.238695371965964,"scaled_energy","rockies",5
100,225.914330599622,286.286244978902,60.3719143792802,0.267233664279026,"scaled_energy","rockies",5
1,276.842990618929,374.563652661415,97.7206620424863,0.352982251145371,"abundance","rockies",5
2,295.461951455615,398.346442068429,102.884490612815,0.348215701229708,"abundance","rockies",5
3,277.271351003877,402.317163295801,125.045812291924,0.450987135306942,"abundance","rockies",5
4,291.7702991155,399.04363931054,107.27334019504,0.36766367419932,"abundance","rockies",5
5,290.652307939101,405.31497707682,114.662669137719,0.39450114795491,"abundance","rockies",5
6,300.471138045617,409.562201356609,109.091063310991,0.363066695924815,"abundance","rockies",5
7,280.483753847146,392.680830473367,112.197076626221,0.400012746147733,"abundance","rockies",5
8,299.853975006786,403.529132433957,103.675157427171,0.345752152943194,"abundance","rockies",5
9,290.106178396804,378.557928045224,88.45174964842,0.304894401550583,"abundance","rockies",5
10,279.83779049768,394.406539404575,114.568748906894,0.409411283240689,"abundance","rockies",5
11,289.905382587336,385.660685695926,95.7553031085901,0.330298465844259,"abundance","rockies",5
12,285.500356947381,417.885823605789,132.385466658409,0.463696326245953,"abundance","rockies",5
13,272.184253725849,419.239351818747,147.055098092898,0.540277756996976,"abundance","rockies",5
14,306.672561200192,397.464746769748,90.7921855695564,0.296055784104821,"abundance","rockies",5
15,269.714058099769,382.605550578206,112.891492478437,0.418559912204047,"abundance","rockies",5
16,298.645051880526,378.744584731973,80.0995328514476,0.268209810767237,"abundance","rockies",5
17,278.15489837846,400.581208145683,122.426309767223,0.440137169903975,"abundance","rockies",5
18,275.90821643141,383.444069295741,107.535852864332,0.389752267095188,"abundance","rockies",5
19,293.073677963028,398.536411019661,105.462733056634,0.35985058020099,"abundance","rockies",5
20,276.958727005861,397.173829083153,120.215102077292,0.434054212253611,"abundance","rockies",5
21,287.3039182993,400.571560611532,113.267642312232,0.394243291155656,"abundance","rockies",5
22,263.253054365816,373.538533177411,110.285478811596,0.418933330430968,"abundance","rockies",5
23,293.481563305208,401.708534083923,108.226970778715,0.368769232247013,"abundance","rockies",5
