"currency","identifier","draw","mean_ichange_over_ts","mean_abs_ichange_over_ts","k"
"abundance","bbs_rtrg_1_11",68,-0.0218857842843047,0.0295981581524171,5
"abundance","bbs_rtrg_1_11",69,-0.0233485612251283,0.0267636068581798,5
"abundance","bbs_rtrg_1_11",70,-0.0215172049867743,0.0263940439395959,5
"abundance","bbs_rtrg_1_11",71,-0.0231980646046694,0.0287298653066517,5
"abundance","bbs_rtrg_1_11",72,-0.0205196242955259,0.0263226406362645,5
"abundance","bbs_rtrg_1_11",73,-0.0228405040717638,0.0289415503307644,5
"abundance","bbs_rtrg_1_11",74,-0.0225575223339401,0.0287423273959561,5
"abundance","bbs_rtrg_1_11",75,-0.0235391232161503,0.0261484590318857,5
"abundance","bbs_rtrg_1_11",76,-0.0245348688987685,0.0297184835156077,5
"abundance","bbs_rtrg_1_11",77,-0.0240369757640218,0.0285628765117888,5
"abundance","bbs_rtrg_1_11",78,-0.0235399355962327,0.02669385445322,5
"abundance","bbs_rtrg_1_11",79,-0.0245659284365661,0.0295184475681097,5
"abundance","bbs_rtrg_1_11",80,-0.0225308986982554,0.0264512434280149,5
"abundance","bbs_rtrg_1_11",81,-0.0209011302331362,0.0284866622205666,5
"abundance","bbs_rtrg_1_11",82,-0.0221303367013414,0.0266218046024595,5
"abundance","bbs_rtrg_1_11",83,-0.0252063730422654,0.0282309457156143,5
"abundance","bbs_rtrg_1_11",84,-0.0226602793903509,0.0285309480073538,5
"abundance","bbs_rtrg_1_11",85,-0.0228791737728783,0.0273072283430173,5
"abundance","bbs_rtrg_1_11",86,-0.0245934919681254,0.0305406929965487,5
"abundance","bbs_rtrg_1_11",87,-0.0228697198974868,0.0255059091408283,5
"abundance","bbs_rtrg_1_11",88,-0.0243347151115253,0.026264193082794,5
"abundance","bbs_rtrg_1_11",89,-0.0241516042829803,0.0274911720643874,5
"abundance","bbs_rtrg_1_11",90,-0.0174446818455559,0.0262834772261454,5
"abundance","bbs_rtrg_1_11",91,-0.0246362327869079,0.0324822030016751,5
"abundance","bbs_rtrg_1_11",92,-0.0243350699714731,0.0285240902824697,5
"abundance","bbs_rtrg_1_11",93,-0.0218642100768053,0.0272382963287233,5
"abundance","bbs_rtrg_1_11",94,-0.0255737065869005,0.0288256456852959,5
"abundance","bbs_rtrg_1_11",95,-0.0238335811888569,0.0278077578605308,5
"abundance","bbs_rtrg_1_11",96,-0.0206962773243977,0.0261100416219338,5
"abundance","bbs_rtrg_1_11",97,-0.0211192157869633,0.0253911851204456,5
"abundance","bbs_rtrg_1_11",98,-0.0219199380832316,0.026884070392584,5
"abundance","bbs_rtrg_1_11",99,-0.0231744198683105,0.0271292496258145,5
"abundance","bbs_rtrg_1_11",100,-0.0247269456281089,0.0300487820221148,5
"scaled_energy","bbs_rtrg_1_11",1,-0.00368140607101538,0.0523632618431155,5
"scaled_energy","bbs_rtrg_1_11",2,-0.00143087289748291,0.059001660380428,5
"scaled_energy","bbs_rtrg_1_11",3,-0.0029717744316802,0.0514541701207317,5
"scaled_energy","bbs_rtrg_1_11",4,-0.00219388197832004,0.0479860339301727,5
"scaled_energy","bbs_rtrg_1_11",5,-0.00595450557051287,0.0474521688992066,5
"scaled_energy","bbs_rtrg_1_11",6,-0.000759681413265047,0.0565526357428359,5
"scaled_energy","bbs_rtrg_1_11",7,-0.00426571495829857,0.0459015141791191,5
"scaled_energy","bbs_rtrg_1_11",8,-0.00480471531790224,0.0499555340274683,5
"scaled_energy","bbs_rtrg_1_11",9,-0.00212508258755513,0.0519266392520677,5
"scaled_energy","bbs_rtrg_1_11",10,-0.00327957070825091,0.0537909072406425,5
