"currency","identifier","draw","mean_ichange_over_ts","mean_abs_ichange_over_ts","k"
"abundance","rockies",1,0.0156581343326146,0.0602332563034028,5
"abundance","rockies",2,0.0154906689192771,0.0597111810342207,5
"abundance","rockies",3,0.0185808592763695,0.0581403976703938,5
"abundance","rockies",4,0.0157062453190808,0.0534828154718321,5
"abundance","rockies",5,0.0171113821438291,0.0612258477556689,5
"abundance","rockies",6,0.0161240029725303,0.0608629466256829,5
"abundance","rockies",7,0.017430754393699,0.0637832803369933,5
"abundance","rockies",8,0.0155034832671622,0.0600840091600309,5
"abundance","rockies",9,0.0146410233548497,0.0653841484420197,5
"abundance","rockies",10,0.0178132847219141,0.0656574892456988,5
"abundance","rockies",11,0.015350646385283,0.065902111286123,5
"abundance","rockies",12,0.0195698368283581,0.0650968676481354,5
"abundance","rockies",13,0.0218146922315871,0.0666482412409376,5
"abundance","rockies",14,0.0134957518522394,0.0560820940568318,5
"abundance","rockies",15,0.0176351917416363,0.0598480181400057,5
"abundance","rockies",16,0.0131971587052995,0.0639116623579493,5
"abundance","rockies",17,0.0186618049616782,0.0638297487037921,5
"abundance","rockies",18,0.0166194811410866,0.0578814373496884,5
"abundance","rockies",19,0.015604038945292,0.0557676808361145,5
"abundance","rockies",20,0.018248588316792,0.0617240446257479,5
"abundance","rockies",21,0.0168719813276454,0.0589193733685847,5
"abundance","rockies",22,0.0169634240789335,0.050073301982675,5
"abundance","rockies",23,0.0163634092389774,0.0619183075829067,5
"abundance","rockies",24,0.0167381456283377,0.0612153413268644,5
"abundance","rockies",25,0.0179213315019792,0.0582068858853214,5
"abundance","rockies",26,0.0158785924773765,0.0511349616688994,5
"abundance","rockies",27,0.0175711624543947,0.0573180756949098,5
"abundance","rockies",28,0.0160430953125182,0.0637329222599449,5
"abundance","rockies",29,0.0186330812661816,0.0656265686983533,5
"abundance","rockies",30,0.0189921616056636,0.0563775755166297,5
"abundance","rockies",31,0.0193740605011473,0.0697823813025148,5
"abundance","rockies",32,0.0136188006510731,0.054438756423067,5
"abundance","rockies",33,0.0126612100307818,0.0544170078845098,5
"abundance","rockies",34,0.0180318478377002,0.0557435767168319,5
"abundance","rockies",35,0.0178876087713668,0.0584551788041143,5
"abundance","rockies",36,0.0162781038464698,0.0614112884745206,5
"abundance","rockies",37,0.0140054619123079,0.0577947650128639,5
"abundance","rockies",38,0.0168986901245272,0.0609476906146976,5
"abundance","rockies",39,0.0178235811478721,0.0634919615619745,5
"abundance","rockies",40,0.0159210338087616,0.062014990112617,5
"abundance","rockies",41,0.0130610402622935,0.0550555913069536,5
"abundance","rockies",42,0.0157038528974431,0.0569580256047996,5
"abundance","rockies",43,0.0206105696961586,0.0618225006416625,5
"abundance","rockies",44,0.0194281832613194,0.0594508829322349,5
"abundance","rockies",45,0.016177872699324,0.0597928436858159,5
"abundance","rockies",46,0.0177539183265954,0.0594757727225748,5
"abundance","rockies",47,0.0182192364466227,0.0671304874580402,5
"abundance","rockies",48,0.0149968404594575,0.0584999322022846,5
"abundance","rockies",49,0.0229453990269393,0.0723322324827513,5
"abundance","rockies",50,0.0206073623159157,0.0691965170036718,5
"abundance","rockies",51,0.0126187945483588,0.0543669519665644,5
"abundance","rockies",52,0.0139630798661132,0.0566054867430628,5
"abundance","rockies",53,0.0212060941284319,0.0650609326460075,5
"abundance","rockies",54,0.0183320708662649,0.0610680241283339,5
"abundance","rockies",55,0.0116377266930558,0.0569286210420572,5
"abundance","rockies",56,0.0149283400782347,0.0548685426035412,5
"abundance","rockies",57,0.0161913011510663,0.0552301323054189,5
"abundance","rockies",58,0.0160995637411582,0.059083116282197,5
"abundance","rockies",59,0.0158918346312243,0.0629287317334887,5
"abundance","rockies",60,0.0151563006170899,0.0568348076888527,5
"abundance","rockies",61,0.0185948870688896,0.0634273797191627,5
"abundance","rockies",62,0.0161268519360915,0.0625925595985546,5
"abundance","rockies",63,0.0191306093482853,0.0645566674294343,5
"abundance","rockies",64,0.0160718815220438,0.0610929499692076,5
"abundance","rockies",65,0.0150998862285766,0.0558093155797286,5
"abundance","rockies",66,0.0143258115100583,0.0571741400845352,5
"abundance","rockies",67,0.0133942317222848,0.0605863075890085,5
"abundance","rockies",68,0.0181657123774912,0.0591141088085962,5
"abundance","rockies",69,0.0211646690113445,0.0673342502370993,5
"abundance","rockies",70,0.0127217014623654,0.0545224931623929,5
"abundance","rockies",71,0.016891412869701,0.0580703566922596,5
"abundance","rockies",72,0.0118225925821255,0.0523776390212856,5
"abundance","rockies",73,0.0168276808565511,0.0575674193732549,5
"abundance","rockies",74,0.0136316058126568,0.0539830621864121,5
"abundance","rockies",75,0.0201569674932326,0.0679721047864633,5
"abundance","rockies",76,0.0202932066506902,0.0644494511932946,5
"abundance","rockies",77,0.0192345586059267,0.0618842380276912,5
"abundance","rockies",78,0.0196905489558226,0.0655000302775002,5
"abundance","rockies",79,0.0203795152317113,0.0655004399818931,5
"abundance","rockies",80,0.00883938067391304,0.0538910258256977,5
"abundance","rockies",81,0.0176087022244754,0.053780239451284,5
"abundance","rockies",82,0.0199552174139193,0.0628085091944422,5
"abundance","rockies",83,0.0125776944939592,0.0570992795120619,5
"abundance","rockies",84,0.0192011596383996,0.0603219509267593,5
"abundance","rockies",85,0.0141236027982939,0.0564894173111026,5
"abundance","rockies",86,0.0157980161426016,0.0572452998244601,5
"abundance","rockies",87,0.0176932104443926,0.0645611510823466,5
"abundance","rockies",88,0.0149640402770388,0.0626097301422609,5
"abundance","rockies",89,0.0173155141473741,0.0622735980294099,5
"abundance","rockies",90,0.0153219047490774,0.0538272452288654,5
"abundance","rockies",91,0.0136188641765015,0.0536002819994674,5
"abundance","rockies",92,0.016430234766693,0.0615428230937713,5
"abundance","rockies",93,0.0135805225949823,0.053164007621661,5
"abundance","rockies",94,0.0129963801067706,0.0580104718043438,5
"abundance","rockies",95,0.0172135212034307,0.0623984670603239,5
"abundance","rockies",96,0.0125327805722127,0.0534107254303209,5
"abundance","rockies",97,0.0190509552257106,0.0619423192007569,5
"abundance","rockies",98,0.0180565179127126,0.0614771856802788,5
"abundance","rockies",99,0.0171158238312728,0.0617034664430281,5
"abundance","rockies",100,0.0107603212698585,0.0558266922751184,5
"scaled_energy","rockies",1,0.00504284771610578,0.0198998671910935,5
"scaled_energy","rockies",2,0.00422026319054879,0.0113163861446675,5
"scaled_energy","rockies",3,0.0100396079755939,0.0242182194512712,5
"scaled_energy","rockies",4,0.00664177877311405,0.023863687458519,5
"scaled_energy","rockies",5,0.00635142614277988,0.0270126138631384,5
"scaled_energy","rockies",6,0.00641039417096441,0.0137581711431757,5
"scaled_energy","rockies",7,0.0108709483340603,0.0316313952542374,5
"scaled_energy","rockies",8,0.00368043846356824,0.0220488007751637,5
"scaled_energy","rockies",9,0.00606301340846281,0.0205525565865885,5
"scaled_energy","rockies",10,0.00460124019500341,0.0177259232559892,5
"scaled_energy","rockies",11,0.0121096373997165,0.029228579646775,5
"scaled_energy","rockies",12,0.0130026262263528,0.0315984527538585,5
"scaled_energy","rockies",13,0.0106886625897542,0.020892572313889,5
"scaled_energy","rockies",14,0.0110118392658334,0.0228475402264795,5
"scaled_energy","rockies",15,0.0116044213792537,0.0283824396213764,5
"scaled_energy","rockies",16,0.00578429228547193,0.0152930583713989,5
"scaled_energy","rockies",17,0.00618716281405011,0.0187079474016218,5
"scaled_energy","rockies",18,0.00884363532166571,0.0242684391741398,5
"scaled_energy","rockies",19,0.00845459849036716,0.0230453633521635,5
"scaled_energy","rockies",20,0.00660166009336223,0.0270437372137135,5
"scaled_energy","rockies",21,0.00504688093784049,0.018659056504976,5
"scaled_energy","rockies",22,0.0095080251470129,0.0336377368780094,5
"scaled_energy","rockies",23,0.00993715921945939,0.0308376929450655,5
"scaled_energy","rockies",24,0.00602567133183963,0.0145514873182485,5
"scaled_energy","rockies",25,0.0102144959337816,0.0252034928194365,5
"scaled_energy","rockies",26,0.008921528256734,0.0252053876475634,5
"scaled_energy","rockies",27,0.00896243707830948,0.0264073300951235,5
"scaled_energy","rockies",28,0.00997215471387864,0.0175820324048281,5
"scaled_energy","rockies",29,0.00611865604985278,0.0213604621268803,5
"scaled_energy","rockies",30,0.0102644494369046,0.0237553932995964,5
"scaled_energy","rockies",31,0.0144499496913384,0.0318747941164689,5
"scaled_energy","rockies",32,0.016122212374141,0.0286402408711882,5
"scaled_energy","rockies",33,0.00919460753584426,0.0187244221555328,5
"scaled_energy","rockies",34,0.00977243509431173,0.0257327115880589,5
"scaled_energy","rockies",35,0.00898248629419302,0.0185516277587936,5
"scaled_energy","rockies",36,0.00850886504975528,0.021472766565437,5
"scaled_energy","rockies",37,0.0111630737449154,0.0223264253958752,5
"scaled_energy","rockies",38,0.0124690335376535,0.0314060745517001,5
"scaled_energy","rockies",39,0.00536025086141455,0.0184287424484356,5
"scaled_energy","rockies",40,0.00883100471271972,0.0162106782000221,5
"scaled_energy","rockies",41,0.00816615231353663,0.0266025371319312,5
"scaled_energy","rockies",42,0.00806184140267082,0.0238742027479089,5
"scaled_energy","rockies",43,0.0106944874207124,0.021261795869788,5
"scaled_energy","rockies",44,0.0102790505865171,0.0289650221108526,5
"scaled_energy","rockies",45,0.00881272342259994,0.0267545943357762,5
"scaled_energy","rockies",46,0.0121792725463953,0.0278441910971122,5
"scaled_energy","rockies",47,0.0106521286589431,0.0276299735107767,5
"scaled_energy","rockies",48,0.00798669565975603,0.0209944010284713,5
"scaled_energy","rockies",49,0.00855056384018612,0.0217978107366677,5
"scaled_energy","rockies",50,0.00934545461708895,0.0229155135657502,5
"scaled_energy","rockies",51,0.00670065207706651,0.0257035578278374,5
"scaled_energy","rockies",52,0.0121152774070162,0.0262029602104414,5
"scaled_energy","rockies",53,0.010837011300024,0.0227737725499539,5
"scaled_energy","rockies",54,0.00666790425298874,0.0269853258738201,5
"scaled_energy","rockies",55,0.0103016225118251,0.0300422460903833,5
"scaled_energy","rockies",56,0.00828252781187764,0.0258970053338842,5
"scaled_energy","rockies",57,0.00927400419411812,0.0225768338185072,5
"scaled_energy","rockies",58,0.0117266550743306,0.0187587178708341,5
"scaled_energy","rockies",59,0.00922365438059728,0.0200986910570959,5
"scaled_energy","rockies",60,0.0144450999240457,0.0341466837112541,5
"scaled_energy","rockies",61,0.0110817432736557,0.0263892724003209,5
"scaled_energy","rockies",62,0.00863650130171704,0.0238652861990549,5
"scaled_energy","rockies",63,0.00867920959621432,0.0293013293259541,5
"scaled_energy","rockies",64,0.0123808091053989,0.0302569240517067,5
"scaled_energy","rockies",65,0.00556357945184229,0.0247262146210812,5
"scaled_energy","rockies",66,0.0114382023378524,0.0222830398093415,5
"scaled_energy","rockies",67,0.00995756171075464,0.0301527606580719,5
"scaled_energy","rockies",68,0.00959935321075574,0.0179985195061446,5
"scaled_energy","rockies",69,0.011877462198187,0.0197150523580468,5
"scaled_energy","rockies",70,0.00757878299462334,0.018128815552859,5
"scaled_energy","rockies",71,0.00740946390997914,0.0265683785347147,5
"scaled_energy","rockies",72,0.0117621468760131,0.0304252656406233,5
"scaled_energy","rockies",73,0.00955171458350014,0.0204053044217869,5
"scaled_energy","rockies",74,0.00740845311864927,0.0239666101151099,5
"scaled_energy","rockies",75,0.00846851936690851,0.0150211698206175,5
"scaled_energy","rockies",76,0.00873588614356728,0.0217397634537715,5
"scaled_energy","rockies",77,0.0128812795168277,0.0292861533375909,5
"scaled_energy","rockies",78,0.00748163223479944,0.0232507155751196,5
"scaled_energy","rockies",79,0.00934751368154474,0.0229318570200513,5
"scaled_energy","rockies",80,0.0181077057034623,0.0329768033208458,5
"scaled_energy","rockies",81,0.00919184906393492,0.0227229536080377,5
"scaled_energy","rockies",82,0.00460102460636252,0.0299489254239393,5
