"draw","start","end","net_change","net_proportional","currency","identifier","k"
72,712.04032749924,607.913273283839,-104.127054215401,-0.146237579802686,"scaled_energy","bbs_rtrg_1_11",5
73,708.313255687815,609.807924650001,-98.5053310378139,-0.139070291635527,"scaled_energy","bbs_rtrg_1_11",5
74,721.701062816343,601.27512452244,-120.425938293903,-0.166864016832615,"scaled_energy","bbs_rtrg_1_11",5
75,702.208986252206,637.553758112011,-64.6552281401952,-0.092074054029513,"scaled_energy","bbs_rtrg_1_11",5
76,726.699136694811,645.305405140322,-81.3937315544882,-0.112004717557097,"scaled_energy","bbs_rtrg_1_11",5
77,700.086842526809,611.869035867511,-88.2178066592979,-0.126009805213444,"scaled_energy","bbs_rtrg_1_11",5
78,691.540669084275,599.00610573453,-92.5345633497442,-0.133809286259732,"scaled_energy","bbs_rtrg_1_11",5
79,692.940539904691,611.860700850169,-81.0798390545218,-0.117008364189045,"scaled_energy","bbs_rtrg_1_11",5
80,698.062752005092,592.805353016131,-105.257398988961,-0.150785009924427,"scaled_energy","bbs_rtrg_1_11",5
81,710.470447718779,634.135063127085,-76.3353845916936,-0.107443433906077,"scaled_energy","bbs_rtrg_1_11",5
82,703.19723559077,581.819801914317,-121.377433676454,-0.172607950562379,"scaled_energy","bbs_rtrg_1_11",5
83,712.730069681708,588.937655868446,-123.792413813262,-0.173687654105215,"scaled_energy","bbs_rtrg_1_11",5
84,737.848032946163,633.464736316035,-104.383296630127,-0.141469912460611,"scaled_energy","bbs_rtrg_1_11",5
85,735.048613051909,594.893786367628,-140.154826684281,-0.190674227793398,"scaled_energy","bbs_rtrg_1_11",5
86,690.153199566235,602.350277225867,-87.8029223403686,-0.127222365114808,"scaled_energy","bbs_rtrg_1_11",5
87,722.92210478195,615.419696532899,-107.502408249051,-0.148705382693307,"scaled_energy","bbs_rtrg_1_11",5
88,713.995303215206,599.377698049285,-114.617605165921,-0.160529914762442,"scaled_energy","bbs_rtrg_1_11",5
89,733.216751287242,604.707171929538,-128.509579357705,-0.175268198840373,"scaled_energy","bbs_rtrg_1_11",5
90,703.035897732111,617.200245005542,-85.8356527265689,-0.122092844765768,"scaled_energy","bbs_rtrg_1_11",5
91,707.294880463712,604.416616125542,-102.87826433817,-0.145453144338782,"scaled_energy","bbs_rtrg_1_11",5
92,713.911408820018,623.606022612598,-90.3053862074197,-0.126493826953515,"scaled_energy","bbs_rtrg_1_11",5
93,706.290510348319,618.501143203545,-87.7893671447736,-0.124296399085808,"scaled_energy","bbs_rtrg_1_11",5
94,708.659595062541,627.084382608372,-81.5752124541686,-0.115111984685637,"scaled_energy","bbs_rtrg_1_11",5
95,708.574915190408,613.247163986475,-95.3277512039325,-0.134534470752914,"scaled_energy","bbs_rtrg_1_11",5
96,680.664794633466,602.157011934177,-78.5077826992889,-0.115339860851133,"scaled_energy","bbs_rtrg_1_11",5
97,715.372749161648,634.097843274921,-81.2749058867279,-0.113611968001262,"scaled_energy","bbs_rtrg_1_11",5
98,707.249443784498,599.064630841178,-108.18481294332,-0.152965568080792,"scaled_energy","bbs_rtrg_1_11",5
99,715.927606983801,604.185976215535,-111.741630768266,-0.1560795109425,"scaled_energy","bbs_rtrg_1_11",5
100,722.357870731162,611.109304552442,-111.24856617872,-0.15400755039343,"scaled_energy","bbs_rtrg_1_11",5
1,782.690476011713,459.464277940619,-323.226198071094,-0.412968099111323,"abundance","bbs_rtrg_1_11",5
2,814.338039849514,483.71992230812,-330.618117541394,-0.405996160516449,"abundance","bbs_rtrg_1_11",5
3,802.741527078404,475.899961399328,-326.841565679075,-0.40715666830969,"abundance","bbs_rtrg_1_11",5
4,817.65969193496,485.24719917558,-332.412492759379,-0.406541371719986,"abundance","bbs_rtrg_1_11",5
5,807.129060303816,485.137671359987,-321.991388943828,-0.398934203685624,"abundance","bbs_rtrg_1_11",5
6,849.451537682846,481.272129103129,-368.179408579717,-0.433431917239264,"abundance","bbs_rtrg_1_11",5
7,804.489523402259,463.693534717707,-340.795988684552,-0.423617683973428,"abundance","bbs_rtrg_1_11",5
8,826.330636337409,483.813170494459,-342.517465842949,-0.414504135246768,"abundance","bbs_rtrg_1_11",5
9,784.262546947768,470.076122105066,-314.186424842702,-0.400613832785294,"abundance","bbs_rtrg_1_11",5
10,826.346557690992,457.799180399993,-368.547377290999,-0.44599614273315,"abundance","bbs_rtrg_1_11",5
11,835.011726817173,454.938911676305,-380.072815140868,-0.455170631662381,"abundance","bbs_rtrg_1_11",5
12,844.345637417929,472.60722728462,-371.738410133308,-0.440268053341416,"abundance","bbs_rtrg_1_11",5
13,805.327373561298,478.108029584699,-327.219343976599,-0.406318417477328,"abundance","bbs_rtrg_1_11",5
14,800.438535595152,501.616753067693,-298.82178252746,-0.373322584107318,"abundance","bbs_rtrg_1_11",5
15,798.134153046822,453.457662066697,-344.676490980124,-0.431852827828938,"abundance","bbs_rtrg_1_11",5
16,808.698615343356,465.975549435265,-342.723065908091,-0.423795786719109,"abundance","bbs_rtrg_1_11",5
17,811.041270147373,466.682212972959,-344.359057174414,-0.424588821616736,"abundance","bbs_rtrg_1_11",5
18,787.79203056066,466.890406525396,-320.901624035264,-0.407343069727277,"abundance","bbs_rtrg_1_11",5
19,808.257190758127,486.988427657579,-321.268763100548,-0.397483334233259,"abundance","bbs_rtrg_1_11",5
20,828.171907103451,461.268895023548,-366.903012079903,-0.443027599623796,"abundance","bbs_rtrg_1_11",5
21,811.755016483646,480.781309662238,-330.973706821408,-0.407726099747578,"abundance","bbs_rtrg_1_11",5
22,768.291915324984,461.409161841291,-306.882753483693,-0.399435094086449,"abundance","bbs_rtrg_1_11",5
23,832.857281064614,472.629670591197,-360.227610473417,-0.432520215243781,"abundance","bbs_rtrg_1_11",5
24,813.03320192517,475.16439852329,-337.86880340188,-0.415565812812866,"abundance","bbs_rtrg_1_11",5
25,791.563207845094,487.222508709187,-304.340699135907,-0.384480602584381,"abundance","bbs_rtrg_1_11",5
26,787.855214525397,481.051269925152,-306.803944600245,-0.389416657964323,"abundance","bbs_rtrg_1_11",5
27,801.036049011822,486.72801512768,-314.308033884142,-0.39237689024343,"abundance","bbs_rtrg_1_11",5
28,801.366270593577,454.139884499408,-347.226386094169,-0.433292988282345,"abundance","bbs_rtrg_1_11",5
29,814.702126152823,460.853721722182,-353.84840443064,-0.434328563866133,"abundance","bbs_rtrg_1_11",5
30,798.272777399138,481.853192398198,-316.41958500094,-0.396380277468399,"abundance","bbs_rtrg_1_11",5
31,799.688330749178,444.007993862859,-355.680336886319,-0.444773698964826,"abundance","bbs_rtrg_1_11",5
