"year","richness","abundance","biomass","energy","mean_energy","mean_mass","site_name","time","scaled_energy"
2016,49,437,107724.495386889,153377.500293558,350.978261541322,246.509142761759,"hartland",NA,573.90949943345
2017,46,450,58252.2315955472,118606.129120677,263.569175823726,129.44940354566,"hartland",NA,443.80162711679
2018,50,374,33666.1669913681,81044.3160585508,216.696032242115,90.016489281733,"hartland",NA,303.252450796675
1980,69,814,46781.8003006835,127105.728877553,156.149544075617,57.4714991408888,"alberta",NA,956.525816474177
1981,66,680,28205.9772668002,86393.9793622089,127.049969650307,41.4793783335297,"alberta",NA,650.152218768197
1984,70,770,36041.6957484422,105710.494675829,137.286356721855,46.807397075899,"alberta",NA,795.517386372845
1989,49,445,22175.6639148466,62382.8149915077,140.186101104512,49.8329526176328,"alberta",NA,469.457777951088
1990,44,471,15437.252394666,51517.573813218,109.379137607682,32.7754827912228,"alberta",NA,387.692118912506
1991,51,524,20755.7930855868,64956.621401602,123.963017941988,39.6102921480665,"alberta",NA,488.826789085382
1992,58,512,28637.7746765632,71324.3470424635,139.305365317311,55.9331536651625,"alberta",NA,536.746690269193
1993,50,329,15202.9419529393,43471.8368938081,132.133242838322,46.209550008934,"alberta",NA,327.144454035899
1994,48,327,23381.3436315272,52750.8705980563,161.317647088857,71.5025799129273,"alberta",NA,396.973212884351
1996,50,445,18588.9758148976,55264.4085400147,124.189682112393,41.7729793593205,"alberta",NA,415.888677619121
1997,52,440,19768.4056495874,56546.8618167203,128.515595038001,44.9281946581531,"alberta",NA,425.539695542731
1998,55,404,20296.0785704692,57257.2998181849,141.725989648973,50.2378182437355,"alberta",NA,430.886050072981
1999,62,549,23898.2264718895,69142.2652599742,125.942195373359,43.5304671619116,"alberta",NA,520.32557709797
2000,55,453,18393.5807596192,56511.5217928981,124.749496231563,40.6039310366869,"alberta",NA,425.273746514003
2001,52,397,17274.7289958285,51048.7940425363,128.586382978681,43.5131712741272,"alberta",NA,384.164347529913
2002,46,232,17714.1014714837,44081.5456746753,190.006662390842,76.3538856529469,"alberta",NA,331.732777430765
2003,50,288,15437.7995491252,43044.9101058386,149.461493423051,53.6034706566848,"alberta",NA,323.931644526497
2004,49,327,15210.71526398,45479.4295798293,139.080824403148,46.5159488195107,"alberta",NA,342.252460969197
2005,54,327,19065.6486090328,50632.2453519862,154.838670801181,58.3047358074397,"alberta",NA,381.02963771118
2006,57,392,17974.362273996,53391.5845167755,136.203021726468,45.8529649846836,"alberta",NA,401.79486340822
2007,56,439,26237.2899675734,63724.1932155198,145.157615525102,59.7660363726046,"alberta",NA,479.552231696441
2008,55,387,16279.0645921943,49618.0595001567,128.212040052084,42.064766388099,"alberta",NA,373.397448678124
2009,58,349,20721.8290904759,50388.0418549837,144.378343424022,59.3748684540857,"alberta",NA,379.191900329718
2010,50,370,14964.0185654509,46537.1040110284,125.775956786563,40.4432934201375,"alberta",NA,350.21192045069
2011,54,344,13367.6267537109,42520.1795740781,123.60517318046,38.8593800979969,"alberta",NA,319.982819365322
2012,55,452,16007.999527733,53166.4783088066,117.624952010634,35.4159281587012,"alberta",NA,400.100841421389
2013,57,379,15244.1095602749,47498.8563060323,125.326797641246,40.2219249611475,"alberta",NA,357.44952419482
2014,51,400,10825.7953220525,41024.4154427433,102.561038606858,27.0644883051313,"alberta",NA,308.726544611915
2015,51,376,11383.5900998167,40843.3332258059,108.625886238846,30.2755055846189,"alberta",NA,307.363822278826
2016,52,379,20026.097463645,50436.4152769476,133.077612867936,52.8393072919392,"alberta",NA,379.555931340344
2017,55,384,17701.2151710535,51534.9635229932,134.205634174461,46.0969145079518,"alberta",NA,387.822984031552
2018,48,373,13136.8825299121,42892.9512884863,114.994507475835,35.2195242088796,"alberta",NA,322.788088424644
1980,72,407,30225.6789476816,79814.0804583391,196.103391789531,74.2645674390211,"cochise_birds",NA,369.857860760735
1981,64,415,27367.2919702181,76299.8186437105,183.85498468364,65.9452818559472,"cochise_birds",NA,353.572797405403
1983,71,413,86165.4823756587,121026.435641153,293.042217048797,208.633129238883,"cochise_birds",NA,560.835611018517
1984,70,366,25303.5482860883,66073.8248107448,180.529575985642,69.1353778308423,"cochise_birds",NA,306.185617330236
1985,71,357,29432.841503794,72145.2368716287,202.087498239856,82.4449341842968,"cochise_birds",NA,334.320496085214
1986,72,491,69265.9150582433,138217.686035204,281.502415550313,141.071110098255,"cochise_birds",NA,640.499738676603
1990,62,555,53927.5685978258,124829.907395494,224.918752063954,97.1667902663527,"cochise_birds",NA,578.460871103531
1992,78,914,47971.5253264219,143582.858481991,157.092842978108,52.485257468733,"cochise_birds",NA,665.361908263545
1993,84,832,65166.5810103758,158635.125585172,190.667218251408,78.3252175605478,"cochise_birds",NA,735.114003112118
1995,73,706,64214.7302433251,145364.686853198,205.898989877051,90.9557085599506,"cochise_birds",NA,673.618887806915
1999,66,430,44289.977810895,96832.3625862298,225.191540898209,102.99994839743,"cochise_birds",NA,448.720454747893
2000,73,753,70506.3257825632,167402.798904051,222.314473976164,93.6338987816244,"cochise_birds",NA,775.743336670151
2007,55,614,50324.3746282559,136112.591759057,221.681745535923,81.9615221958565,"cochise_birds",NA,630.744747311616
2008,59,520,47205.4669182871,120115.198565146,230.990766471434,90.779744073629,"cochise_birds",NA,556.612945122444
2009,57,559,56801.9921500847,140463.270735813,251.275976271579,101.613581663837,"cochise_birds",NA,650.905761633389
2013,81,501,42340.5195635787,100541.58219073,200.6818007799,84.5120150969634,"cochise_birds",NA,465.90895106501
2016,78,662,70675.9168067116,148838.091499626,224.830953926927,106.761203635516,"cochise_birds",NA,689.714619345848
2018,85,591,70405.4516703899,140229.267538418,237.274564362806,119.129359848376,"cochise_birds",NA,649.821392540834
1981,42,929,73569.325002704,203846.192650386,219.425395748532,79.1919537165813,"salamonie",NA,972.089612692742
1982,40,923,68401.2736698128,192855.966920857,208.944709556725,74.1075554385837,"salamonie",NA,919.680077180118
1983,37,886,83750.0296324952,217332.032960077,245.295748261938,94.5259928132,"salamonie",NA,1036.40008674691
1984,39,769,61105.4240745513,168717.202588934,219.398182820461,79.4608895637859,"salamonie",NA,804.568571955466
1985,36,639,52079.2168944009,139989.960967079,219.076621231735,81.5011219004708,"salamonie",NA,667.575808839137
1986,42,890,68028.2117657386,189001.936516696,212.361726423254,76.4361929952119,"salamonie",NA,901.301205962678
1987,44,822,66214.9607420861,182354.157718411,221.842041019964,80.5534802215159,"salamonie",NA,869.599673384264
1988,36,726,61158.7511655992,160336.297856155,220.848895118671,84.2407040848474,"salamonie",NA,764.602211388336
1989,38,564,43075.8795929018,118036.587873743,209.284730272594,76.3756730370599,"salamonie",NA,562.885867515576
1992,35,634,43814.3966200896,128064.550127895,201.994558561348,69.1078811042422,"salamonie",NA,610.706618136387
1996,53,1222,93426.5723264912,248377.136953961,203.254612891949,76.453823507767,"salamonie",NA,1184.44613423517
1997,51,964,72059.8026793701,197723.067853243,205.106916860211,74.7508326549482,"salamonie",NA,942.890018944466
1998,53,1224,97192.2983138508,263171.897446481,215.009720136014,79.4054724786363,"salamonie",NA,1254.99850909224
1999,60,1375,108986.628942782,298787.041211882,217.299666335914,79.2630028674778,"salamonie",NA,1424.83789072976
2000,57,1032,74846.453909364,206792.860631841,200.380678906822,72.5256336331046,"salamonie",NA,986.141507896591
2004,66,1779,140061.388458238,365277.335602236,205.32733873088,78.7304038551083,"salamonie",NA,1741.91285632698
2005,60,1500,117798.364554551,311076.21120271,207.384140801807,78.5322430363673,"salamonie",NA,1483.44175446338
2006,64,1828,130996.234224489,360294.488575213,197.097641452524,71.6609596414056,"salamonie",NA,1718.15095146319
2008,63,1703,117171.120667205,328774.482725094,193.056067366467,68.8027719713475,"salamonie",NA,1567.84022021756
2011,66,1598,109843.489485197,308459.081510622,193.028211208149,68.7381035576952,"salamonie",NA,1470.96134187548
2012,65,1474,124570.339847093,306381.59630548,207.857256652293,84.5117638039982,"salamonie",NA,1461.05435385582
2014,71,1373,129517.096050788,294902.122624656,214.786688000478,94.3314610712223,"salamonie",NA,1406.31172178004
2016,69,1416,129081.830682403,300180.950247498,211.99219650247,91.1594849451999,"salamonie",NA,1431.48508132451
2017,67,1195,119876.780930083,265954.333759374,222.555927832112,100.315297849441,"salamonie",NA,1268.26722607231
2018,67,1068,95598.2699606129,226653.280436118,212.222172692994,89.5114887271656,"salamonie",NA,1080.85069792089
1973,55,1006,85786.6632193855,211110.139411726,209.851033212452,85.2750131405423,"tilden",NA,934.088401852585
1974,59,1183,80229.2082878328,226796.602078124,191.713104038989,67.8184347318959,"tilden",NA,1003.49550320549
